complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,Classified as Pothole because description refers to 'pothole'.,
PM-202402,Pothole,Urgent,Classified as Pothole based on 'pothole'; marked Urgent due to severity keyword 'child'.,
PM-202406,Flooding,Standard,Classified as Flooding because description refers to 'flooded'.,
PM-202408,Flooding,Standard,"Classified as Flooding because description refers to 'flooded, drain'.",NEEDS_REVIEW
PM-202410,Streetlight,Standard,Classified as Streetlight because description refers to 'streetlights'.,
PM-202411,Streetlight,Urgent,Classified as Streetlight based on 'streetlight'; marked Urgent due to severity keyword 'hazard'.,
PM-202413,Waste,Standard,Classified as Waste because description refers to 'garbage'.,
PM-202418,Noise,Standard,Classified as Noise because description refers to 'music'.,
PM-202419,Road Damage,Standard,Classified as Road Damage because description refers to 'road surface'.,
PM-202420,Drain Blockage,Urgent,Classified as Drain Blockage based on 'manhole'; marked Urgent due to severity keyword 'injury'.,
PM-202427,Flooding,Standard,Classified as Flooding because description refers to 'floods'.,
PM-202428,Waste,Standard,Classified as Waste because description refers to 'dead animal'.,
PM-202430,Streetlight,Standard,"Classified as Streetlight because description refers to 'lights out, heritage'.",NEEDS_REVIEW
PM-202433,Waste,Standard,Classified as Waste because description refers to 'waste'.,
PM-202446,Road Damage,Urgent,Classified as Road Damage based on 'footpath'; marked Urgent due to severity keyword 'fell'.,
